time	arc length (micron)
	0.000	0.550	1.100	1.650	2.200	2.750	3.300	3.850	4.400	4.950	5.500	6.050	6.600	7.150	7.700	8.250	8.800	9.350	9.900	10.450	11.000	11.550	12.100	12.650	13.200	13.750	14.300	14.850	15.400	15.950	16.500	17.050	17.600	18.150	18.700	19.250	19.800	20.350	20.900	21.450	22.000	22.550	23.100	23.650	24.200	24.750	25.300	25.850	26.400	26.950	27.500	28.050	28.600	29.150	29.700	30.250	30.800	31.350	31.900	32.450	33.000	33.550	34.100	34.650	35.200	35.750	36.300	36.850	37.400	37.950	38.500	39.050	39.600	40.150	40.700	41.250	41.800	42.350	42.900	43.450	44.000	44.550	45.100	45.650	46.200	46.750	47.300	47.850	48.400	48.950	49.500	50.050	50.600	51.150	51.700	52.250	52.800	53.350	53.900	54.450	55.000	55.550	56.100	56.650	57.200	57.750	58.300	58.850	59.400	59.950	60.500	61.050	61.600	62.150	62.700	63.250	63.800	64.350	64.900	65.450	66.000	66.550
0	171.064991	171.265274	171.469647	171.807791	172.022521	172.275064	172.524720	172.694286	173.012758	173.351469	173.785507	174.156585	174.626531	175.032091	175.539526	176.059070	176.480558	176.905711	177.228550	177.744010	178.222899	178.612439	179.039852	179.459686	179.858950	180.189505	180.688014	181.073731	181.511548	181.985565	182.431210	182.832318	183.307788	183.822702	184.234283	184.639754	185.046436	185.372328	185.642961	186.079292	186.497837	186.774569	187.119530	187.430638	187.648651	187.824275	188.052142	188.225196	188.310610	188.377272	188.423682	188.419360	188.388652	188.337595	188.313396	188.275087	188.238287	188.191560	188.159925	188.154689	188.162367	188.131353	188.123455	188.124839	188.112034	188.079961	188.052723	188.037211	188.027876	188.029173	188.043773	188.066959	188.109607	188.174571	188.241789	188.335647	188.429829	188.512784	188.698034	188.847268	188.966463	189.147833	189.391060	189.560061	189.746084	189.930342																																			
1	171.265099	171.444816	171.616277	171.879289		172.308260	172.574245	172.807589	173.036798	173.323418	173.644013	174.008359	174.320040	174.640124	174.922206	175.370719	175.827826	176.203000	176.565759	176.942074	177.312224	177.716663	178.200817	178.651270	178.992179	179.411473	179.857034	180.343429	180.757038	181.234372	181.579377	182.104034	182.578215	182.979420	183.430100	183.852841	184.357260	184.802241	185.275040	185.667536	186.050509	186.436033	186.815206	187.158915	187.578513	187.911667	188.116774		188.852855	189.084835	189.244208	189.420506	189.528630	189.602666	189.622785	189.618370	189.596479	189.545452	189.506451	189.427149	189.335470	189.243894	189.157623	189.062140	188.935780	188.813701	188.691526	188.583467	188.477344	188.394418	188.318748	188.270310	188.224538	188.183873	188.159173	188.155144	188.172117	188.209812	188.278436	188.371743	188.486299	188.634876	188.778937	188.900338																																					
2	172.049250	172.132355	172.216153	172.552866	172.690044	172.829236	172.998311	173.169948	173.449355	173.642757	173.865363	174.142048	174.456611	174.742826	175.137983	175.394934	175.773831	176.200143	176.555552	176.887366	177.360875	177.741745	178.059494	178.557985	178.910498	179.325196	179.779895	180.298704	180.641164	181.127067	181.527247	182.011240	182.486604	182.920301	183.388582	183.776404	184.299886	184.770183	185.277942	185.720107	186.170155	186.583069	187.001721	187.404526	187.803370	188.204815	188.636656	189.001483	189.352866	189.653603	189.926805	190.154316	190.349957	190.434688	190.538901	190.590679	190.600410	190.569122	190.517010	190.442180	190.350281	190.219168	190.056120	189.934980	189.762973	189.623015	189.449076	189.255390	189.090095	188.919592	188.791582	188.660226	188.515399	188.415648	188.333427	188.265401	188.221409	188.196743	188.154795	188.074712																																									
3	172.068124	172.186543	172.356441	172.553606	172.679428	172.845102	173.071910	173.247181	173.445773	173.614064	173.877153	174.135153	174.377283	174.627801	174.922410	175.261127	175.556208	175.864484	176.135035	176.521704	176.950596	177.276877	177.603223	178.014908	178.485541	178.846209	179.281904	179.679147	180.129120	180.493817	181.025239	181.548884	181.983943	182.475393	182.842716	183.358790	183.839899	184.344738	184.760754	185.230755	185.773399	186.311748	186.778596	187.174199	187.614943	188.086331	188.485637	188.845595	189.239307	189.625773	189.982630	190.381819	190.712321	190.966126	191.154885	191.298622	191.413062	191.465796	191.507756	191.488319	191.433213	191.308693	191.144188	190.962813	190.782955	190.617321	190.382164	190.152354	189.933675	189.713088	189.522852	189.301034	189.110881	188.905448	188.718796	188.561585	188.448075	188.316297	188.184715	188.078558	188.023829	187.976660	187.952115																																						
4	172.114087	172.208513	172.304421	172.426026	172.539604	172.679774	172.819620	172.964285	173.167237	173.341298	173.511321	173.716230	173.960270	174.139247	174.366191	174.616106	174.843493	175.097295	175.350633	175.662820	175.958810	176.267701	176.589713	176.884605	177.237745	177.660313	178.052146	178.411645	178.766366	179.221669	179.608997	179.984180	180.504610	180.970123	181.414815	181.874597	182.389084	182.769075	183.282109	183.664254	184.247140	184.765332	185.208864	185.670825	186.157512	186.541333	187.089138	187.482708	187.921781	188.421300	188.900306	189.445603	189.829486	190.262761	190.594284	191.035654	191.322353	191.618458	191.817733	191.964650	192.074514	192.108422	192.120921	192.077067	191.973605	191.809603	191.639912	191.464825	191.253049	191.048183	190.786367	190.531945	190.299914	190.055105	189.830327	189.551484	189.345342	189.196122	188.930865	188.734744	188.534550	188.385729	188.240178	188.035343	187.892628																																				
5	172.227503	172.317889	172.405954	172.552294	172.701152	172.848502	172.949167	173.049794	173.288120	173.520794	173.689044	173.874964	174.061581	174.240119	174.414410	174.640703	174.860405	175.057934	175.333732	175.619403	175.867513	176.133977	176.462674	176.769517	177.074488	177.352579	177.710754	178.062321	178.404388	178.754504	179.164531	179.590013	179.939590	180.361682	180.741353	181.238630	181.736194	182.096617	182.582866	183.021577	183.551000	184.093716	184.576049	185.037678	185.461271	185.994383	186.423503	186.947509	187.499354	187.951168	188.418702	188.964442	189.344870	189.822546	190.044589	190.733961	191.047806	191.550169	191.909237	192.285342	192.485051		192.910792	193.116325	193.178698	193.207004	193.179054	193.088117	193.021783	192.744967	192.528260	192.191633	191.890863	191.559211	191.226147	190.840162	190.498491	190.150059	189.885580	189.597145	189.380800	189.101252	188.838711	188.637844	188.398112	188.237052																																			
6	172.283884	172.421338	172.540819	172.679664	172.832174	172.974013	173.166368	173.364547	173.502800	173.699904	173.898792	174.078658	174.287408	174.493090	174.703747	174.926653	175.121001	175.337746	175.579071	175.825867	176.036785	176.303712	176.566629	176.852552	177.080065	177.344027	177.639333	177.924212	178.272058	178.653761	178.948581	179.337761	179.746589	180.080783	180.443953	180.814741	181.166410	181.625384	182.115103	182.535533	182.878450	183.375009	183.840761	184.372587	184.787709	185.259450	185.821383	186.353775	186.851977	187.346242	187.837280	188.330425	188.830790	189.368720	189.956132	190.414922	190.812206	191.251953	191.678433	192.160211	192.543078	192.985886	193.182124	193.375516	193.642384	193.766069	193.852318	193.870088	193.838654	193.730911	193.578439	193.313932	193.092394	192.756097	192.447082	192.116824	191.844323	191.468387	191.066132	190.742218	190.368822	189.956137	189.650478	189.324392	189.092881	188.866498																																			
7	172.644109	172.758007	172.923238	173.092167	173.279880	173.516378	173.729216	173.887727	174.112189	174.317928	174.533220	174.702308	174.896359	175.083162	175.300973	175.522628	175.733259	175.965063	176.195072	176.471361	176.711007	176.963905	177.152641	177.414661	177.678898	177.987157	178.226496	178.469893	178.726920	178.947966	179.239312	179.509550	179.837061	180.203281	180.529400	180.843236	181.260618	181.705996	182.105207	182.480924	183.027522	183.385931	183.741488	184.317800	184.781316	185.265808	185.735493	186.199713	186.707853	187.220086	187.638718	188.072459	188.576095	189.016418	189.509353	189.985011	190.459680	190.928695	191.379517	191.771894	192.226602	192.516865	192.729855	193.026840	193.197449	193.303276	193.408423	193.448486	193.475469	193.454688	193.380278	193.236406	193.079365	192.808991	192.655313	192.217822	191.970614	191.636404	191.390631	191.020890	190.641717	190.214277	189.710756																																						
8	172.118721	172.311677	172.509905	172.708317	172.861704	173.072867	173.252077	173.469505	173.699514	173.901859	174.117787	174.312412	174.528701	174.716958	174.952333	175.179206	175.383023	175.638829	175.850271	176.034415	176.276274	176.548640	176.810437	177.014063	177.213170	177.454788	177.646553	177.877345	178.128104	178.345835	178.588654	178.840775	179.033880	179.343723	179.641942	179.922738	180.192511	180.496437	180.847719	181.146643	181.528886	181.983192	182.408943	182.827038	183.266848	183.701265	184.153968	184.717402	185.185089	185.755670	186.176897	186.677998	187.202119	187.731154	188.149166	188.569629	189.094165	189.526469	190.000374	190.416632	190.758921	191.142615	191.583931	192.021259	192.419257	192.799100	192.944190	193.210402	193.461777	193.601381	193.692445	193.756318	193.756131	193.697134	193.585851	193.435856	193.291235	193.144023	192.865111	192.643214	192.260115	191.961912	191.693652	191.338705																																					
9	172.251359	172.399476	172.568403	172.790260	173.027362	173.193514	173.433167	173.668415	173.904910	174.121826	174.333507	174.581987	174.818471	175.031795	175.269160	175.518600	175.761929	175.960065	176.258212	176.484025	176.737891	177.003106	177.217920	177.441965	177.696742	177.947941	178.149320	178.349552	178.556303	178.754105	178.977319	179.165746	179.397465	179.634256	179.876267	180.083209	180.369919	180.635559	180.952259	181.279517	181.644788	181.979421	182.256822	182.667958	183.034265	183.454157	183.858224	184.333677	184.784655	185.275719	185.738359	186.270230	186.793557	187.240358	187.746010	188.192324	188.604373	189.055617	189.546818	190.014930	190.482712	190.931134	191.280319	191.669977	192.028215	192.414515	192.762722	192.950256	193.160218	193.322379	193.486851	193.523715	193.581106	193.605175	193.605603	193.614132	193.579081	193.461139	193.335350	193.113599	192.832451																																								
